RANK  ,COMPANY NAME,PRIMARY INDUSTRY,GROWTH,CITY,PROV.,CEO NAME,
1 ,Donuts Inc.,Communications/networking,"59,093%",Kirkland,WA,Bruce Jaffe,
2 ,ClassPass Inc.,Software,"46,556%",New York,NY,Fritz Lanman,
3 ,Toast,Software,"31,250%",Boston,MA,Chris Comparato,
4 ,"Aratana Therapeutics, Inc.",Biotechnology/pharmaceutical,"31,242%",Leawood,KS,Steven St. Peter,
5 ,"Theravance Biopharma US, Inc.",Biotechnology/pharmaceutical,"21,426%",South San Francisco,CA,Rick E. Winningham,
6 ,Liftoff,Software,"16,981%",Palo Alto,CA,Mark Ellis,
7 ,SalesLoft,Software,"13,759%",Atlanta,GA,Kyle Porter,
8 ,ShipHawk,Software,"13,638%",Santa Barbara,CA,Jeremy Bodenhamer,
9 ,iSpot.tv,Software,"13,323%",Bellevue,WA,Sean Muller,
10 ,Cylance Inc.,Software,"13,057%",Irvine,CA,Stuart McClure,
11 ,DashBid,Software,"12,979%",New York,NY,Rodger Wells,
12 ,Prodigy Ventures Inc.,Software,"12,800%",Toronto,ON,Tom Beckerman,
13 ,El Toro,Software,"12,032%",Louisville,KY,Stacy Griggs,
14 ,iLearningEngines,Software,"12,029%",Potomac,MD,Harish Chidambaran,
15 ,Gainsight,Software,"11,677%",Redwood City,CA,Nick Mehta,
16 ,"Excel Impact, LLC",Digital content/media/entertainment ,11368%,Medina,OH,Alex Matseikovich,
17 ,Bench Accounting,Software,"9,763%",Vancouver,BC,Ian Crosby,
18 ,Matterport,Software,"9,282%",Sunnyvale,CA,Bill Brown,
19 ,SPAR Information Systems,Software,"9,114%",Plano,TX,"Nagarjun G.;
Pankaj Midha",
20 ,"White Ops, Inc.",Software,"8,913%",New York,NY,"Sandeep Swadia;
Michael Tiffany",
21 ,Braze,Software,"8,542%",New York,NY,Bill Magnuson,
22 ,SkipTheDishes,Digital content/media/entertainment,"8,507%",Winnipeg,MB,Joshua Simair,
23 ,StackAdapt Inc.,Software,"7,987%",Toronto,ON,Ildar Shar,
24 ,SendtoNews Video Inc.,Digital content/media/entertainment,"7,191%",Victoria,BC,Matthew Watson,
25 ,"Pure Storage, Inc.",Electronic devices/hardware,"7,146%",Mountain View,CA,Charles Giancarlo,
26 ,"Coherus BioSciences, Inc.",Biotechnology/pharmaceutical,"6,810%",Redwood City,CA,Dennis Lanfear,
27 ,TrackR,Electronic devices/hardware,"6,535%",Santa Barbara,CA,Chris Herbert,
28 ,Avant,Software,"6,334%",Chicago,IL,Al Goldstein,
29 ,"STRATA Skin Sciences, Inc.",Medical devices,"6,251%",Horsham,PA,Michael Stewart,
